Major Category,Subcategory,Keyword,Prompt-Ready Phrase,Tags
Eye Color Details,Base + Detail,"amber eyes, with subtle limbal ring","amber eyes with warm golden honey-like iris coloration, a soft limbal ring around the iris edge",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"amber eyes, with golden flecks","amber eyes with warm golden honey-like iris coloration, small golden flecks visible inside the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"amber eyes, with radial streaks","amber eyes with warm golden honey-like iris coloration, fine radial streaks visible through the iris pattern",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"amber eyes, with central heterochromia","amber eyes with warm golden honey-like iris coloration, a contrasting inner ring of color near the pupil",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"amber eyes, with multitone iris pattern","amber eyes with warm golden honey-like iris coloration, multiple distinct color notes blended across the iris",eye color iris detail limbal heterochromia
Base Eye Colors,Base Tone,hazel eyes,hazel eyes with multitone green-brown-gold iris variation,eye color iris
Eye Color Details,Base + Detail,"hazel eyes, with dark limbal ring","hazel eyes with multitone green-brown-gold iris variation, a clearly visible dark limbal ring around the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"hazel eyes, with subtle limbal ring","hazel eyes with multitone green-brown-gold iris variation, a soft limbal ring around the iris edge",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"hazel eyes, with golden flecks","hazel eyes with multitone green-brown-gold iris variation, small golden flecks visible inside the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"hazel eyes, with radial streaks","hazel eyes with multitone green-brown-gold iris variation, fine radial streaks visible through the iris pattern",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"hazel eyes, with central heterochromia","hazel eyes with multitone green-brown-gold iris variation, a contrasting inner ring of color near the pupil",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"hazel eyes, with multitone iris pattern","hazel eyes with multitone green-brown-gold iris variation, multiple distinct color notes blended across the iris",eye color iris detail limbal heterochromia
Base Eye Colors,Base Tone,green eyes,green eyes with distinct green iris coloration,eye color iris
Eye Color Details,Base + Detail,"green eyes, with dark limbal ring","green eyes with distinct green iris coloration, a clearly visible dark limbal ring around the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"green eyes, with subtle limbal ring","green eyes with distinct green iris coloration, a soft limbal ring around the iris edge",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"green eyes, with golden flecks","green eyes with distinct green iris coloration, small golden flecks visible inside the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"green eyes, with radial streaks","green eyes with distinct green iris coloration, fine radial streaks visible through the iris pattern",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"green eyes, with central heterochromia","green eyes with distinct green iris coloration, a contrasting inner ring of color near the pupil",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"green eyes, with multitone iris pattern","green eyes with distinct green iris coloration, multiple distinct color notes blended across the iris",eye color iris detail limbal heterochromia
Base Eye Colors,Base Tone,light green eyes,light-green eyes with bright lifted iris coloration,eye color iris
Eye Color Details,Base + Detail,"light green eyes, with dark limbal ring","light-green eyes with bright lifted iris coloration, a clearly visible dark limbal ring around the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"light green eyes, with subtle limbal ring","light-green eyes with bright lifted iris coloration, a soft limbal ring around the iris edge",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"light green eyes, with golden flecks","light-green eyes with bright lifted iris coloration, small golden flecks visible inside the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"light green eyes, with radial streaks","light-green eyes with bright lifted iris coloration, fine radial streaks visible through the iris pattern",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"light green eyes, with central heterochromia","light-green eyes with bright lifted iris coloration, a contrasting inner ring of color near the pupil",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"light green eyes, with multitone iris pattern","light-green eyes with bright lifted iris coloration, multiple distinct color notes blended across the iris",eye color iris detail limbal heterochromia
Base Eye Colors,Base Tone,olive green eyes,olive-green eyes with muted earthy green iris coloration,eye color iris
Eye Color Details,Base + Detail,"olive green eyes, with dark limbal ring","olive-green eyes with muted earthy green iris coloration, a clearly visible dark limbal ring around the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"olive green eyes, with subtle limbal ring","olive-green eyes with muted earthy green iris coloration, a soft limbal ring around the iris edge",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"olive green eyes, with golden flecks","olive-green eyes with muted earthy green iris coloration, small golden flecks visible inside the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"olive green eyes, with radial streaks","olive-green eyes with muted earthy green iris coloration, fine radial streaks visible through the iris pattern",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"olive green eyes, with central heterochromia","olive-green eyes with muted earthy green iris coloration, a contrasting inner ring of color near the pupil",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"olive green eyes, with multitone iris pattern","olive-green eyes with muted earthy green iris coloration, multiple distinct color notes blended across the iris",eye color iris detail limbal heterochromia
Base Eye Colors,Base Tone,gray-green eyes,gray-green eyes with cool desaturated multitone irises,eye color iris
Eye Color Details,Base + Detail,"gray-green eyes, with dark limbal ring","gray-green eyes with cool desaturated multitone irises, a clearly visible dark limbal ring around the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"gray-green eyes, with subtle limbal ring","gray-green eyes with cool desaturated multitone irises, a soft limbal ring around the iris edge",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"gray-green eyes, with golden flecks","gray-green eyes with cool desaturated multitone irises, small golden flecks visible inside the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"gray-green eyes, with radial streaks","gray-green eyes with cool desaturated multitone irises, fine radial streaks visible through the iris pattern",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"gray-green eyes, with central heterochromia","gray-green eyes with cool desaturated multitone irises, a contrasting inner ring of color near the pupil",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"gray-green eyes, with multitone iris pattern","gray-green eyes with cool desaturated multitone irises, multiple distinct color notes blended across the iris",eye color iris detail limbal heterochromia
Base Eye Colors,Base Tone,blue-green eyes,blue-green eyes with teal-leaning iris coloration,eye color iris
Eye Color Details,Base + Detail,"blue-green eyes, with dark limbal ring","blue-green eyes with teal-leaning iris coloration, a clearly visible dark limbal ring around the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"blue-green eyes, with subtle limbal ring","blue-green eyes with teal-leaning iris coloration, a soft limbal ring around the iris edge",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"blue-green eyes, with golden flecks","blue-green eyes with teal-leaning iris coloration, small golden flecks visible inside the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"blue-green eyes, with radial streaks","blue-green eyes with teal-leaning iris coloration, fine radial streaks visible through the iris pattern",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"blue-green eyes, with central heterochromia","blue-green eyes with teal-leaning iris coloration, a contrasting inner ring of color near the pupil",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"blue-green eyes, with multitone iris pattern","blue-green eyes with teal-leaning iris coloration, multiple distinct color notes blended across the iris",eye color iris detail limbal heterochromia
Base Eye Colors,Base Tone,teal eyes,teal eyes with saturated blue-green iris coloration,eye color iris
Eye Color Details,Base + Detail,"teal eyes, with dark limbal ring","teal eyes with saturated blue-green iris coloration, a clearly visible dark limbal ring around the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"teal eyes, with subtle limbal ring","teal eyes with saturated blue-green iris coloration, a soft limbal ring around the iris edge",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"teal eyes, with golden flecks","teal eyes with saturated blue-green iris coloration, small golden flecks visible inside the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"teal eyes, with radial streaks","teal eyes with saturated blue-green iris coloration, fine radial streaks visible through the iris pattern",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"teal eyes, with central heterochromia","teal eyes with saturated blue-green iris coloration, a contrasting inner ring of color near the pupil",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"teal eyes, with multitone iris pattern","teal eyes with saturated blue-green iris coloration, multiple distinct color notes blended across the iris",eye color iris detail limbal heterochromia
Base Eye Colors,Base Tone,blue eyes,blue eyes with clearly readable blue iris coloration,eye color iris
Eye Color Details,Base + Detail,"blue eyes, with dark limbal ring","blue eyes with clearly readable blue iris coloration, a clearly visible dark limbal ring around the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"blue eyes, with subtle limbal ring","blue eyes with clearly readable blue iris coloration, a soft limbal ring around the iris edge",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"blue eyes, with golden flecks","blue eyes with clearly readable blue iris coloration, small golden flecks visible inside the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"blue eyes, with radial streaks","blue eyes with clearly readable blue iris coloration, fine radial streaks visible through the iris pattern",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"blue eyes, with central heterochromia","blue eyes with clearly readable blue iris coloration, a contrasting inner ring of color near the pupil",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"blue eyes, with multitone iris pattern","blue eyes with clearly readable blue iris coloration, multiple distinct color notes blended across the iris",eye color iris detail limbal heterochromia
Base Eye Colors,Base Tone,light blue eyes,light-blue eyes with airy bright iris coloration,eye color iris
Eye Color Details,Base + Detail,"light blue eyes, with dark limbal ring","light-blue eyes with airy bright iris coloration, a clearly visible dark limbal ring around the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"light blue eyes, with subtle limbal ring","light-blue eyes with airy bright iris coloration, a soft limbal ring around the iris edge",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"light blue eyes, with golden flecks","light-blue eyes with airy bright iris coloration, small golden flecks visible inside the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"light blue eyes, with radial streaks","light-blue eyes with airy bright iris coloration, fine radial streaks visible through the iris pattern",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"light blue eyes, with central heterochromia","light-blue eyes with airy bright iris coloration, a contrasting inner ring of color near the pupil",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"light blue eyes, with multitone iris pattern","light-blue eyes with airy bright iris coloration, multiple distinct color notes blended across the iris",eye color iris detail limbal heterochromia
Base Eye Colors,Base Tone,ice blue eyes,ice-blue eyes with very pale cool iris coloration,eye color iris
Eye Color Details,Base + Detail,"ice blue eyes, with dark limbal ring","ice-blue eyes with very pale cool iris coloration, a clearly visible dark limbal ring around the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"ice blue eyes, with subtle limbal ring","ice-blue eyes with very pale cool iris coloration, a soft limbal ring around the iris edge",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"ice blue eyes, with golden flecks","ice-blue eyes with very pale cool iris coloration, small golden flecks visible inside the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"ice blue eyes, with radial streaks","ice-blue eyes with very pale cool iris coloration, fine radial streaks visible through the iris pattern",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"ice blue eyes, with central heterochromia","ice-blue eyes with very pale cool iris coloration, a contrasting inner ring of color near the pupil",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"ice blue eyes, with multitone iris pattern","ice-blue eyes with very pale cool iris coloration, multiple distinct color notes blended across the iris",eye color iris detail limbal heterochromia
Base Eye Colors,Base Tone,gray eyes,gray eyes with cool desaturated iris coloration,eye color iris
Eye Color Details,Base + Detail,"gray eyes, with dark limbal ring","gray eyes with cool desaturated iris coloration, a clearly visible dark limbal ring around the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"gray eyes, with subtle limbal ring","gray eyes with cool desaturated iris coloration, a soft limbal ring around the iris edge",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"gray eyes, with golden flecks","gray eyes with cool desaturated iris coloration, small golden flecks visible inside the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"gray eyes, with radial streaks","gray eyes with cool desaturated iris coloration, fine radial streaks visible through the iris pattern",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"gray eyes, with central heterochromia","gray eyes with cool desaturated iris coloration, a contrasting inner ring of color near the pupil",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"gray eyes, with multitone iris pattern","gray eyes with cool desaturated iris coloration, multiple distinct color notes blended across the iris",eye color iris detail limbal heterochromia
Base Eye Colors,Base Tone,steel gray eyes,steel-gray eyes with deeper cool-toned iris coloration,eye color iris
Eye Color Details,Base + Detail,"steel gray eyes, with dark limbal ring","steel-gray eyes with deeper cool-toned iris coloration, a clearly visible dark limbal ring around the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"steel gray eyes, with subtle limbal ring","steel-gray eyes with deeper cool-toned iris coloration, a soft limbal ring around the iris edge",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"steel gray eyes, with golden flecks","steel-gray eyes with deeper cool-toned iris coloration, small golden flecks visible inside the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"steel gray eyes, with radial streaks","steel-gray eyes with deeper cool-toned iris coloration, fine radial streaks visible through the iris pattern",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"steel gray eyes, with central heterochromia","steel-gray eyes with deeper cool-toned iris coloration, a contrasting inner ring of color near the pupil",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"steel gray eyes, with multitone iris pattern","steel-gray eyes with deeper cool-toned iris coloration, multiple distinct color notes blended across the iris",eye color iris detail limbal heterochromia
Base Eye Colors,Base Tone,violet eyes,violet-toned eyes with rare purple-lilac iris coloration,eye color iris
Eye Color Details,Base + Detail,"violet eyes, with dark limbal ring","violet-toned eyes with rare purple-lilac iris coloration, a clearly visible dark limbal ring around the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"violet eyes, with subtle limbal ring","violet-toned eyes with rare purple-lilac iris coloration, a soft limbal ring around the iris edge",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"violet eyes, with golden flecks","violet-toned eyes with rare purple-lilac iris coloration, small golden flecks visible inside the iris",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"violet eyes, with radial streaks","violet-toned eyes with rare purple-lilac iris coloration, fine radial streaks visible through the iris pattern",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"violet eyes, with central heterochromia","violet-toned eyes with rare purple-lilac iris coloration, a contrasting inner ring of color near the pupil",eye color iris detail limbal heterochromia
Eye Color Details,Base + Detail,"violet eyes, with multitone iris pattern","violet-toned eyes with rare purple-lilac iris coloration, multiple distinct color notes blended across the iris",eye color iris detail limbal heterochromia
